,geometric,top_1,top_2,top_3
housing_shap_ranking,2.570183858045049,1.7482227572177278,2.3940557123385227,2.6342481202637327
housing_exact_ranking_std_0.01,2.926545178806425,2.7752531630515445,2.8756784033088247,2.938318429166436
housing_exact_ranking_std_0.03,2.8807845578829836,2.6624770582264756,2.8119140445453517,2.905594298690992
housing_exact_ranking_std_0.1,2.7741946215836712,2.3236165955256727,2.65148091280602,2.834493949635254
housing_exact_ranking_std_0.3,2.6239572680236476,1.9786528913473775,2.37648183924848,2.675617019718479
housing_exact_ranking_std_1.0,2.3827475293460196,0.533870124823374,2.1758927917375583,2.622162102202852
