,geometric,top_1,top_2,top_3
housing_shap_ranking,2.0937806289716887,1.0774429460221935,1.548959907751903,1.584962500721156
housing_exact_ranking_std_0.01,2.1810559125220537,0.7143904130414328,1.3673299982092015,1.829849166193957
housing_exact_ranking_std_0.03,2.3168256086583843,1.1595009082332144,1.6389817367673838,2.0123607453904
housing_exact_ranking_std_0.1,2.1971786357617633,0.8842084186859029,1.5800145196517148,1.9976108718884844
housing_exact_ranking_std_0.3,2.1754339900877935,0.7218657849547101,1.6022429971873693,2.020459577601003
housing_exact_ranking_std_1.0,2.1380047310965207,0.03097093325509432,1.6334568759224477,2.066129712314284
