,geometric,top_1,top_2,top_3
wine_shap_ranking,3.2435556827493803,2.64280175403224,3.1202050998678197,3.3054247897221116
wine_exact_ranking_std_0.01,3.2896941731680034,3.220129997926966,3.248901024217623,3.2145710709397988
wine_exact_ranking_std_0.03,3.33560689032635,3.222777188513093,3.2880425222723075,3.3218919591681058
wine_exact_ranking_std_0.1,3.2846939347086246,3.058565609703348,3.231515094713112,3.3004336602170294
wine_exact_ranking_std_0.3,3.1572411738398625,2.791880567804921,3.01942665111606,3.1888901186536867
wine_exact_ranking_std_1.0,2.739523978815444,1.7297173243501978,2.401796569493391,2.846391279367754
