,geometric,top_1,top_2,top_3
wine_shap_ranking,2.6438234321757,1.7246353018259204,2.111645422305203,2.43194138346735
wine_exact_ranking_std_0.01,2.216288311150181,1.0604395393786858,1.5994227308118996,1.770096606704055
wine_exact_ranking_std_0.03,2.4148658763919113,1.705720977005284,1.975285737790966,1.957965221730467
wine_exact_ranking_std_0.1,2.4630966217817263,1.482450688561892,1.9877782587520105,2.2073468758640553
wine_exact_ranking_std_0.3,2.3283018089048197,1.3719704987288157,1.6537141606075694,2.0727630510125694
wine_exact_ranking_std_1.0,2.316375452516272,1.3049201523582004,1.5845727865352066,2.011573411545336
