,geometric,top_1,top_2,top_3
telemetry_shap_ranking,2.379446139940535,2.040553227644653,2.001233256770088,2.1413118292686684
telemetry_exact_ranking_std_0.1,3.0533563810138995,2.3849153053905487,2.6153595578371105,2.7784259789758186
telemetry_exact_ranking_std_0.3,2.9285911534105997,2.2141640346623537,2.4914045233502113,2.7425857167949337
telemetry_exact_ranking_std_1.0,2.9523970196448466,2.1007896121436938,2.468738553592745,2.7298505795095096
