,geometric,top_1,top_2,top_3
telemetry_shap_ranking,3.011124928938003,2.4246113891064365,2.6950780146376574,2.945537693258115
telemetry_exact_ranking_std_0.1,3.7768951286048513,3.5212299347419167,3.690628429619652,3.7846225443336046
telemetry_exact_ranking_std_0.3,3.673728804984665,3.250905221477364,3.5179794082843046,3.6881830144490566
telemetry_exact_ranking_std_1.0,3.479125702643052,2.7032790040967845,3.1933530613289824,3.5176100695176267
